Month,2019,2020,2021,2022,2023,2024,2025,2026
Jan,843769,970744,902054,1087284,766635,918886,811498,1010364
Feb,683151,828800,771323,909976,722185,962220,849645,919873
Mar,950512,926169,883803,889712,942005,1001884,1027020,
Apr,909137,755777,852040,804301,755820,980171,894423,
May,1001339,621451,1049846,957087,965071,987014,918126,
Jun,956580,837958,938280,1059947,943832,945921,917307,
Jul,858971,1078205,1062136,1011937,984700,1089799,1057867,
Aug,1150291,1027905,1221666,952462,944940,1086499,1167899,
Sep,1005052,1122347,902652,905784,1027798,1043477,1058857,
Oct,767579,977543,1064687,787888,890178,1074886,1067264,
Nov,911851,912934,1011417,728053,822935,969982,933575,
Dec,758526,863187,914515,845152,992915,1016682,894683,
